penetration_rate,spend_per_consumer,adult_share,addressable_channel_share,achievable_share,tam_usd,sam_usd,som_usd
0.10346568790500012,218.19028182150657,0.6549645848293703,0.5855055674506375,0.019838354671447078,12120507718.19541,7096624749.331836,140785358.74741417
0.11344299403709734,316.22286730336145,0.6462189502981008,0.5842490104870959,0.029601783169009577,19002987557.257652,11102476676.626379,328653107.22048014
0.0961810249794759,301.42448884012884,0.7013189075378499,0.5913947274170838,0.01467486408380527,16666895936.58107,9856714379.303263,144645943.8291644
0.13873143186754958,299.0858112016968,0.6621305766913878,0.49942190190125646,0.030945981579081214,22520890809.237152,11247426120.459745,348062641.5358242
0.13700049336472728,185.2478898460907,0.7047154081714126,0.572331363511068,0.026609725286614677,14660892526.559566,8390888610.015062,223279240.8230849
0.09010674783119743,285.4838999196746,0.6456744126823524,0.602930533543808,0.03555538901436895,13615191510.03654,8209014681.447455,291874710.4235303
0.10243549933527878,387.99809446451627,0.6769061125953523,0.47086257644685997,0.035759080873334806,22053613522.21002,10384221283.03112,371330208.66651434
0.09291142530095545,274.5234231103338,0.6927670540886445,0.48729292864424945,0.014781924200670675,14484616324.731663,7058251109.166797,104334532.8850033
0.09202227005942713,311.69253801479573,0.6895508806151114,0.5375980802215037,0.018499098099215912,16212758266.247618,8715947719.030033,161237171.88197374
0.07152358496633396,344.03185599804215,0.685284150351462,0.46625915868243906,0.024761204940431228,13822603874.67948,6444915653.408676,159583877.31784546
0.10808388738097885,345.02471355712464,0.7219042141999424,0.5447451611614442,0.0326360395320023,22067949399.786617,12021408652.289356,392331168.00646996
0.10269308300607485,293.42185402221304,0.6523669912490773,0.4076640835755588,0.03086218374190121,16113759208.93947,6569000880.86953,202733712.18610632
0.07361335757629107,364.8856605237352,0.6769716210920964,0.5035671733967564,0.03599581617034138,14905794474.590647,7506068790.802602,270187072.35566705
0.0916721845039429,273.54653229122266,0.715099022589049,0.42418966763484345,0.026890379589786108,14699623818.2377,6235428541.815478,167673040.39440468
0.1296824333851207,374.65647973464945,0.6305732757018591,0.46488932256589577,0.020744932936167138,25114307208.40695,11675373264.8281,242204835.3835777
0.08936703605066573,246.79286900090455,0.6258970890070081,0.45788022368298664,0.013361247949397635,11315770608.839998,5181267577.521025,69228200.79543324
0.08283903543340662,254.5391786491183,0.6529115058441876,0.5648644804462907,0.0200158335062164,11285355280.377851,6374696347.102438,127594860.73628826
0.10206814651246035,195.51597899376705,0.6879252289988049,0.4433181466451134,0.027911697351535703,11253431312.40135,4988850312.811852,139247280.06331864
0.1419642700081264,347.8955126532454,0.6558440284846794,0.5571568872083683,0.034240110287892304,26552149909.926952,14793713192.504858,506538371.2788137
0.08951946777029358,277.5349137023878,0.6477794789183138,0.5537098944120243,0.022016931816762512,13192695672.158762,7304926127.640999,160832060.47875887
0.11158919375132115,244.52802728579798,0.6741999176839133,0.49983236466156217,0.03252115975770193,15080325696.550488,7537634852.77335,245132627.24226418
0.11724772174304861,245.07797235451864,0.6863036870931984,0.4525814140174809,0.023330574321968292,16165765156.879917,7316324853.375237,170694060.75533473
0.08924884883841822,379.0873565764954,0.6546140319350338,0.4510462037784202,0.021778033036795562,18155092902.843937,8188785733.072297,178335646.22608864
0.11502820520409866,357.9660205332448,0.6600690789065797,0.4946430403448889,0.02513325554341564,22279568634.976467,11020433567.177385,276979373.0431048
0.09638707569713884,299.1029329417445,0.6863004921566964,0.36990993050485693,0.0241075537065902,16219035652.812233,5999582351.18757,144635253.74836504
0.10932293321380102,310.0773457270117,0.7261306353433791,0.5047787341933403,0.03377183340240952,20177498120.92559,10185171960.669321,343971930.630617
0.10939068700930815,286.264249774415,0.6915601859867772,0.6039031309036882,0.02451604720072434,17752057208.301483,10720522928.074652,262824846.12112567
0.10429426817494783,273.59205141219053,0.702255822424487,0.43343745971574665,0.021171433401779023,16425950420.351492,7119622223.613952,150732607.75306866
0.07802895371883432,384.3442381975116,0.6663454680974189,0.5114379307544887,0.03158302369469039,16381242856.580038,8377988949.756044,264602223.5139994
0.1227761360228121,219.9921098216919,0.6571581342646311,0.6085276114625714,0.0392498535121758,14549973293.030935,8854060494.85232,347520577.41089636
0.09398246950853115,277.74750408103046,0.6738323297643483,0.5707756115651375,0.02741735872845434,14418500727.916346,8229728570.828832,225637420.46422395
0.08591267329781849,265.92201866568377,0.7049988300315712,0.5679457815658471,0.020616384319595886,13202955827.775301,7498563066.585198,154593258.02544793
0.07211571333422634,290.01777202704227,0.6739972682028645,0.5604636770233918,0.020366618766788462,11555371010.881945,6476365726.128403,131901671.73835231
0.10709333669867917,283.68471387693774,0.7098828813633574,0.4679239681851334,0.015095881994009176,17678944418.6974,8272401825.721303,124879201.76811485
0.11190852625967684,293.3582626315871,0.739142090316218,0.5798413042239706,0.01589761539364328,19891185950.422367,11533731204.054426,183358822.7357195
0.06772762474116609,223.870427857518,0.6293993195289285,0.5986221429552837,0.03381472658908623,7822761420.982549,4682878205.656493,158350246.17426503
0.10314297024294822,292.42530843176985,0.6233435617034857,0.4993675301009452,0.016589324561159344,15411798091.67515,7696151547.45428,127673955.89258778
0.08855494336735019,247.23339828269513,0.6423683423673896,0.4763158625299121,0.024763290003402036,11528566785.169935,5491239232.011913,135981149.58036968
0.11004099046325752,234.78751447317853,0.6679149181609767,0.4865295048781161,0.028344735132221584,14145616340.740803,6882259714.456411,195075828.71742594
0.0850543238667095,200.2845357208502,0.639654842197961,0.4726347825146151,0.03179388351582318,8932247506.55788,4221690857.628697,134223947.36726245
0.11270683469402332,339.97854980306425,0.713148636592345,0.44776926864359934,0.01877906188690895,22400260478.612156,10030148251.934288,188356774.7579456
0.09731282951857088,279.113263894171,0.6166659836890825,0.5189663446338308,0.02403568329674087,13730040259.169119,7125428804.976333,171264550.1098859
0.1331264985647704,312.0102462097264,0.6615590171788819,0.5097033852191705,0.020637955055188,22525435757.19915,11481290858.981356,236950364.72319803
0.082250289861608,332.1325342112672,0.6470779731289534,0.494278647750689,0.020729417061749942,14490277911.911337,7162234971.831213,148468955.82534006
0.09504053172799937,322.1139176102076,0.7231888636319549,0.41567375732221684,0.0216930615481577,18148524381.080807,7543865319.337719,163649534.6834055
